193 460
188 567
197 636
217 704
246 769
284 829
330 884
381 931
440 964
509 977
579 965
640 931
693 885
738 830
775 771
803 707
823 640
833 572
833 471
258 379
308 375
357 372
407 376
456 376
410 345
355 337
302 347
771 402
720 387
667 376
614 377
562 374
613 344
673 341
730 359
300 434
323 447
352 453
382 452
410 444
389 419
358 409
325 413
355 432
355 430
710 445
686 456
657 460
628 457
601 448
621 424
653 417
685 423
655 440
655 437
457 447
453 563
402 623
450 657
500 673
553 659
602 627
552 565
553 449
498 623
393 754
633 754
423 788
461 811
506 819
556 811
599 789
571 768
506 776
448 767
431 729
474 713
505 722
539 713
588 730
569 746
505 746
448 745
505 448
509 375
502 697
270 -16
482 127
727 5
510 223
